target_lower,source_lower,scale_factor,TEMP
2.096,-56.66173775614152,0.007669938823995324,44.0417
2.096,-63.24839742034783,0.006674743850245082,44.0867
2.101,-62.06443893850337,0.0071634453381792945,44.1287
2.131,-62.06443893850337,0.008070499491310326,44.1607
2.129,-64.87871085414736,0.008345346686404532,44.2
2.129,-64.87871085414736,0.00833435058709389,44.2315
2.129,-64.87871085414736,0.009151211653158488,44.2688
2.142,-64.87871085414736,0.009778302762461779,44.3005
2.192,-64.87871085414736,0.009582543635884693,44.4714
2.192,-67.82436201670498,0.009311578330695397,44.5102
2.192,-67.82436201670498,0.009311578330695397,44.5633
2.193,-67.82436201670498,0.00930197876540602,44.6077
2.197,-67.82436201670498,0.008446838838608318,44.6545
2.197,-67.82436201670498,0.0095776175757355,44.7079
2.197,-67.82436201670498,0.009857827890425259,44.6473
2.197,-67.82436201670498,0.011614044929834245,44.63
2.197,-64.87871085414736,0.011687800897119007,44.62
2.197,-64.87871085414736,0.010969928819946677,44.62
2.197,-64.87871085414736,0.011020907373108738,44.6339
2.129,-57.86961280981268,0.012212159855116927,44.65
2.049,-37.725151478625776,0.015415118750320561,44.66
2.0145999999999997,-37.614409125261226,0.015682443010696625,44.65
1.9906000000000001,-31.359181566793268,0.016987515877630532,44.65
