DEPTH,DYNA_COR,DYNA_XY_DIS,STAT_XY_ENG,DYNA_XY_COR,DYNA_XY_CON,DYNA_CON,Type,Well_Name,DEPTH,DYNA_COR,DYNA_XY_DIS,STAT_XY_ENG,DYNA_XY_COR,DYNA_XY_CON,DYNA_CON,Type,Well_Name,PCA1,PCA2,PCA3,Type_R
1000.1,0.7728750685821557,0.8210428966680681,0.17865880515083976,0.16419082379564992,0.8693420779717158,0.08670986770307665,2,simu1,1000.1,0.7728750685821557,0.8210428966680681,0.17865880515083976,0.16419082379564992,0.8693420779717158,0.08670986770307665,2,simu1,-0.42797586266857374,0.014095929195032999,0.07317565828487446,高阻多斑块
1000.1125,0.7932342223441659,0.8222926927706959,0.1924278031473468,0.16026989876789668,0.8708512970029204,0.08859246301453635,2,simu1,1000.1125,0.7932342223441659,0.8222926927706959,0.1924278031473468,0.16026989876789668,0.8708512970029204,0.08859246301453635,2,simu1,-0.43335504992008506,0.036486824638718,0.07997316384107539,高阻多斑块
1000.125,0.816614319150619,0.8367441697922064,0.16383435321385956,0.14796818652827468,0.8765974939337519,0.08547146273782891,2,simu1,1000.125,0.816614319150619,0.8367441697922064,0.16383435321385956,0.14796818652827468,0.8765974939337519,0.08547146273782891,2,simu1,-0.468493363600661,0.032604529429931986,0.09928259412735875,高阻多斑块
1000.1375,0.8468099358858736,0.8455431274946682,0.10682547617345048,0.13479536828090558,0.8852591386445304,0.07980523120629097,2,simu1,1000.1375,0.8468099358858736,0.8455431274946682,0.10682547617345048,0.13479536828090558,0.8852591386445304,0.07980523120629097,2,simu1,-0.5169221153693215,0.01684413638093687,0.12951506011696481,高阻多斑块
1000.15,0.837209447000288,0.8468479579363114,0.09384058609263342,0.13842053175039037,0.8833057337351033,0.07322412271080246,2,simu1,1000.15,0.837209447000288,0.8468479579363114,0.09384058609263342,0.13842053175039037,0.8833057337351033,0.07322412271080246,2,simu1,-0.5183766708671809,0.0031592159847905897,0.12446345595241173,高阻多斑块
1000.1625,0.8119719776674859,0.8485016250569297,0.04800319372500088,0.13611131369746415,0.8846318593709208,0.06798465288729673,2,simu1,1000.1625,0.8119719776674859,0.8485016250569297,0.04800319372500088,0.13611131369746415,0.8846318593709208,0.06798465288729673,2,simu1,-0.5292211720029208,-0.043803622756755596,0.12434082935548843,高阻多斑块
1000.175,0.76966863716373,0.8406736961170275,0.05721811436217846,0.1602866687925363,0.8789022382229773,0.06871017173929436,2,simu1,1000.175,0.76966863716373,0.8406736961170275,0.05721811436217846,0.1602866687925363,0.8789022382229773,0.06871017173929436,2,simu1,-0.49206286456756027,-0.06361067835273453,0.09804928639758204,高阻多斑块
1000.1875,0.7320268698803793,0.8318440239775099,0.0454419873998951,0.18661176505013455,0.8718279843108863,0.07365454262085187,2,simu1,1000.1875,0.7320268698803793,0.8318440239775099,0.0454419873998951,0.18661176505013455,0.8718279843108863,0.07365454262085187,2,simu1,-0.4609208090207251,-0.09306759616471508,0.0843162652090093,高阻多斑块
1000.2,0.7330095153851731,0.8222930579446256,0.08673845274696863,0.21262730219634604,0.8623953140002495,0.08279839835815306,2,simu1,1000.2,0.7330095153851731,0.8222930579446256,0.08673845274696863,0.21262730219634604,0.8623953140002495,0.08279839835815306,2,simu1,-0.42317638281769027,-0.0617649901685415,0.0748212988071776,高阻多斑块
1000.2125,0.8075630505041161,0.835722958761771,0.09244005371402304,0.18582376582844,0.8698153078879648,0.08352818025510754,2,simu1,1000.2125,0.8075630505041161,0.835722958761771,0.09244005371402304,0.18582376582844,0.8698153078879648,0.08352818025510754,2,simu1,-0.4716208228281949,-0.010152032038910486,0.11250405937049292,高阻多斑块
1000.225,0.8569457777262691,0.8485220290585617,0.07851940659659912,0.1670588561427906,0.877228153933001,0.09230956464525751,2,simu1,1000.225,0.8569457777262691,0.8485220290585617,0.07851940659659912,0.1670588561427906,0.877228153933001,0.09230956464525751,2,simu1,-0.5102839817866077,0.011490756774902225,0.14875291510493227,高阻多斑块
1000.2375,0.8813319381056854,0.8597536216963001,0.06922817315850328,0.15698805587266323,0.8831019225542278,0.10342667950584983,2,simu1,1000.2375,0.8813319381056854,0.8597536216963001,0.06922817315850328,0.15698805587266323,0.8831019225542278,0.10342667950584983,2,simu1,-0.5311521755545563,0.019265094883180386,0.17156439623262967,高阻多斑块
1000.25,0.8778898201247022,0.8449606698987864,0.11239552888344086,0.16981058363712834,0.8727917026321461,0.11698637147085407,2,simu1,1000.25,0.8778898201247022,0.8449606698987864,0.11239552888344086,0.16981058363712834,0.8727917026321461,0.11698637147085407,2,simu1,-0.4924753125160043,0.04549757479430171,0.16563315699405856,高阻多斑块
1000.2625,0.8745071480610479,0.8476436813358132,0.15388711201768387,0.17738934256515726,0.868437293448366,0.12723658050723666,2,simu1,1000.2625,0.8745071480610479,0.8476436813358132,0.15388711201768387,0.17738934256515726,0.868437293448366,0.12723658050723666,2,simu1,-0.4680625142857239,0.06868315680950506,0.15647290604337435,高阻多斑块
1000.275,0.8839181457460551,0.8575480311383872,0.12357540721969014,0.1686540123326947,0.8757206316290946,0.1343335516569004,2,simu1,1000.275,0.8839181457460551,0.8575480311383872,0.12357540721969014,0.1686540123326947,0.8757206316290946,0.1343335516569004,2,simu1,-0.4915323735501958,0.05335856076578658,0.17576645296711468,高阻多斑块
